experiment_id,scenario,low_count,interaction_order,member_index_zero_based,member_name,additive_value,exact_shapley_value
L1_contextual_tail_low8,contextual_tail,8,0,0,high_1,0.26000000000000001,0.34000000000000002
L1_contextual_tail_low8,contextual_tail,8,0,1,high_2,0.14999999999999999,0.26000000000000001
L1_contextual_tail_low8,contextual_tail,8,0,2,high_3,0.13,0.18000000000000002
L1_contextual_tail_low8,contextual_tail,8,0,3,high_4,0.089999999999999997,0.12
L1_contextual_tail_low8,contextual_tail,8,0,4,low_1,0.01,0.012500000000000001
L1_contextual_tail_low8,contextual_tail,8,0,5,low_2,0.01,0.012500000000000001
L1_contextual_tail_low8,contextual_tail,8,0,6,low_3,0.01,0.012500000000000001
L1_contextual_tail_low8,contextual_tail,8,0,7,low_4,0.01,0.012500000000000001
L1_contextual_tail_low8,contextual_tail,8,0,8,low_5,0.01,0.012500000000000001
L1_contextual_tail_low8,contextual_tail,8,0,9,low_6,0.01,0.012500000000000001
L1_contextual_tail_low8,contextual_tail,8,0,10,low_7,0.01,0.012500000000000001
L1_contextual_tail_low8,contextual_tail,8,0,11,low_8,0.01,0.012500000000000001
L1_contextual_tail_low16,contextual_tail,16,0,0,high_1,0.26000000000000001,0.34000000000000002
L1_contextual_tail_low16,contextual_tail,16,0,1,high_2,0.14999999999999999,0.26000000000000001
L1_contextual_tail_low16,contextual_tail,16,0,2,high_3,0.13,0.18000000000000002
L1_contextual_tail_low16,contextual_tail,16,0,3,high_4,0.089999999999999997,0.12
L1_contextual_tail_low16,contextual_tail,16,0,4,low_1,0.0050000000000000001,0.0062500000000000003
L1_contextual_tail_low16,contextual_tail,16,0,5,low_2,0.0050000000000000001,0.0062500000000000003
L1_contextual_tail_low16,contextual_tail,16,0,6,low_3,0.0050000000000000001,0.0062500000000000003
L1_contextual_tail_low16,contextual_tail,16,0,7,low_4,0.0050000000000000001,0.0062500000000000003
L1_contextual_tail_low16,contextual_tail,16,0,8,low_5,0.0050000000000000001,0.0062500000000000003
L1_contextual_tail_low16,contextual_tail,16,0,9,low_6,0.0050000000000000001,0.0062500000000000003
L1_contextual_tail_low16,contextual_tail,16,0,10,low_7,0.0050000000000000001,0.0062500000000000003
L1_contextual_tail_low16,contextual_tail,16,0,11,low_8,0.0050000000000000001,0.0062500000000000003
L1_contextual_tail_low16,contextual_tail,16,0,12,low_9,0.0050000000000000001,0.0062500000000000003
L1_contextual_tail_low16,contextual_tail,16,0,13,low_10,0.0050000000000000001,0.0062500000000000003
L1_contextual_tail_low16,contextual_tail,16,0,14,low_11,0.0050000000000000001,0.0062500000000000003
L1_contextual_tail_low16,contextual_tail,16,0,15,low_12,0.0050000000000000001,0.0062500000000000003
L1_contextual_tail_low16,contextual_tail,16,0,16,low_13,0.0050000000000000001,0.0062500000000000003
L1_contextual_tail_low16,contextual_tail,16,0,17,low_14,0.0050000000000000001,0.0062500000000000003
L1_contextual_tail_low16,contextual_tail,16,0,18,low_15,0.0050000000000000001,0.0062500000000000003
L1_contextual_tail_low16,contextual_tail,16,0,19,low_16,0.0050000000000000001,0.0062500000000000003
L1_contextual_tail_low32,contextual_tail,32,0,0,high_1,0.26000000000000001,0.34000000000000002
L1_contextual_tail_low32,contextual_tail,32,0,1,high_2,0.14999999999999999,0.26000000000000001
L1_contextual_tail_low32,contextual_tail,32,0,2,high_3,0.13,0.17999999999999958
L1_contextual_tail_low32,contextual_tail,32,0,3,high_4,0.089999999999999997,0.12
L1_contextual_tail_low32,contextual_tail,32,0,4,low_1,0.0025000000000000001,0.0031250000000000002
L1_contextual_tail_low32,contextual_tail,32,0,5,low_2,0.0025000000000000001,0.0031250000000000002
L1_contextual_tail_low32,contextual_tail,32,0,6,low_3,0.0025000000000000001,0.0031250000000000002
L1_contextual_tail_low32,contextual_tail,32,0,7,low_4,0.0025000000000000001,0.0031250000000000002
L1_contextual_tail_low32,contextual_tail,32,0,8,low_5,0.0025000000000000001,0.0031250000000000002
L1_contextual_tail_low32,contextual_tail,32,0,9,low_6,0.0025000000000000001,0.0031250000000000002
L1_contextual_tail_low32,contextual_tail,32,0,10,low_7,0.0025000000000000001,0.0031250000000000002
L1_contextual_tail_low32,contextual_tail,32,0,11,low_8,0.0025000000000000001,0.0031250000000000002
L1_contextual_tail_low32,contextual_tail,32,0,12,low_9,0.0025000000000000001,0.0031250000000000002
L1_contextual_tail_low32,contextual_tail,32,0,13,low_10,0.0025000000000000001,0.0031250000000000002
L1_contextual_tail_low32,contextual_tail,32,0,14,low_11,0.0025000000000000001,0.0031250000000000002
L1_contextual_tail_low32,contextual_tail,32,0,15,low_12,0.0025000000000000001,0.0031250000000000002
L1_contextual_tail_low32,contextual_tail,32,0,16,low_13,0.0025000000000000001,0.0031250000000000002
L1_contextual_tail_low32,contextual_tail,32,0,17,low_14,0.0025000000000000001,0.0031250000000000002
L1_contextual_tail_low32,contextual_tail,32,0,18,low_15,0.0025000000000000001,0.0031250000000000002
L1_contextual_tail_low32,contextual_tail,32,0,19,low_16,0.0025000000000000001,0.0031250000000000002
L1_contextual_tail_low32,contextual_tail,32,0,20,low_17,0.0025000000000000001,0.0031250000000000002
L1_contextual_tail_low32,contextual_tail,32,0,21,low_18,0.0025000000000000001,0.0031250000000000002
L1_contextual_tail_low32,contextual_tail,32,0,22,low_19,0.0025000000000000001,0.0031250000000000002
L1_contextual_tail_low32,contextual_tail,32,0,23,low_20,0.0025000000000000001,0.0031250000000000002
L1_contextual_tail_low32,contextual_tail,32,0,24,low_21,0.0025000000000000001,0.0031250000000000002
L1_contextual_tail_low32,contextual_tail,32,0,25,low_22,0.0025000000000000001,0.0031250000000000002
L1_contextual_tail_low32,contextual_tail,32,0,26,low_23,0.0025000000000000001,0.0031250000000000002
L1_contextual_tail_low32,contextual_tail,32,0,27,low_24,0.0025000000000000001,0.0031250000000000002
L1_contextual_tail_low32,contextual_tail,32,0,28,low_25,0.0025000000000000001,0.0031250000000000002
L1_contextual_tail_low32,contextual_tail,32,0,29,low_26,0.0025000000000000001,0.0031250000000000002
L1_contextual_tail_low32,contextual_tail,32,0,30,low_27,0.0025000000000000001,0.0031250000000000002
L1_contextual_tail_low32,contextual_tail,32,0,31,low_28,0.0025000000000000001,0.0031250000000000002
L1_contextual_tail_low32,contextual_tail,32,0,32,low_29,0.0025000000000000001,0.0031250000000000002
L1_contextual_tail_low32,contextual_tail,32,0,33,low_30,0.0025000000000000001,0.0031250000000000002
L1_contextual_tail_low32,contextual_tail,32,0,34,low_31,0.0025000000000000001,0.0031250000000000002
L1_contextual_tail_low32,contextual_tail,32,0,35,low_32,0.0025000000000000001,0.0031250000000000002
L2_hidden_interaction_order2_low16,synergy_tail2,16,2,0,high_1,0.34000000000000002,0.34000000000000002
L2_hidden_interaction_order2_low16,synergy_tail2,16,2,1,high_2,0.23999999999999999,0.23999999999999999
L2_hidden_interaction_order2_low16,synergy_tail2,16,2,2,high_3,0.17000000000000001,0.17000000000000001
L2_hidden_interaction_order2_low16,synergy_tail2,16,2,3,hidden_interaction_1,0,0.059999999999999998
L2_hidden_interaction_order2_low16,synergy_tail2,16,2,4,hidden_interaction_2,0,0.059999999999999998
L2_hidden_interaction_order2_low16,synergy_tail2,16,2,5,low_1,0.0092857142857142774,0.0092857142857142774
L2_hidden_interaction_order2_low16,synergy_tail2,16,2,6,low_2,0.0092857142857142774,0.0092857142857142774
L2_hidden_interaction_order2_low16,synergy_tail2,16,2,7,low_3,0.0092857142857142774,0.0092857142857142774
L2_hidden_interaction_order2_low16,synergy_tail2,16,2,8,low_4,0.0092857142857142774,0.0092857142857142774
L2_hidden_interaction_order2_low16,synergy_tail2,16,2,9,low_5,0.0092857142857142774,0.0092857142857142774
L2_hidden_interaction_order2_low16,synergy_tail2,16,2,10,low_6,0.0092857142857142774,0.0092857142857142774
L2_hidden_interaction_order2_low16,synergy_tail2,16,2,11,low_7,0.0092857142857142774,0.0092857142857142774
L2_hidden_interaction_order2_low16,synergy_tail2,16,2,12,low_8,0.0092857142857142774,0.0092857142857142774
L2_hidden_interaction_order2_low16,synergy_tail2,16,2,13,low_9,0.0092857142857142774,0.0092857142857142774
L2_hidden_interaction_order2_low16,synergy_tail2,16,2,14,low_10,0.0092857142857142774,0.0092857142857142774
L2_hidden_interaction_order2_low16,synergy_tail2,16,2,15,low_11,0.0092857142857142774,0.0092857142857142774
L2_hidden_interaction_order2_low16,synergy_tail2,16,2,16,low_12,0.0092857142857142774,0.0092857142857142774
L2_hidden_interaction_order2_low16,synergy_tail2,16,2,17,low_13,0.0092857142857142774,0.0092857142857142774
L2_hidden_interaction_order2_low16,synergy_tail2,16,2,18,low_14,0.0092857142857142774,0.0092857142857142774
L2_hidden_interaction_order3_low16,synergy_tail3,16,3,0,high_1,0.34000000000000002,0.34000000000000002
