file_name,dataset,data_rows,data_columns,sha256,source_doi,license,description
cnae_9.csv,CNAE-9,1080,858,d4059c059517b7197c2f6d0f10235a1956814a48098d04bcbcbd3dd2a5cc4242,10.24432/C5SC8V,CC BY 4.0,Complete analysis-ready table
farm_ads_features.csv,Farm Ads,817141,3,322f57ad1de429e4681ab92ef2db5c17e28ae7d209c177794b70a5da8d581991,10.24432/C5ZC8D,CC BY 4.0,Farm Ads sparse nonzero features in long-table form
farm_ads_samples.csv,Farm Ads,4143,2,ff4b3e6c491257fdfb4e584c849d37309b3f60c3215bba3eab3c2bd168388e6a,10.24432/C5ZC8D,CC BY 4.0,Farm Ads sample identifiers and binary labels
internet_advertisements.csv,Internet Advertisements,3279,1560,dbaf6b437c581ef62cee1a66c8458f75c815337c9b617526ce9aa090b4e085c7,10.24432/C5V011,CC BY 4.0,Complete analysis-ready table
iris.csv,Iris,150,7,6142fb7822cd75b6e78fec18c03ce9895ac0d9057c8a6bf58ccea67f0ed78f88,10.24432/C56C76,CC BY 4.0,Complete UCI Iris table
iris_with_weak_fields_seed11.csv,Simulated data,150,15,81ed7c21a477da185d12238f4ba14b14b7a71a44f444d7ca7d87ea3d0d96e113,not applicable,CC BY 4.0,Deterministic simulated data reported in the study
iris_with_weak_fields_seed23.csv,Simulated data,150,15,6e3b4f69c21b3e1b6d1b6cb710d78b51658539ad6c6896305ee06ca8f299d111,not applicable,CC BY 4.0,Deterministic simulated data reported in the study
iris_with_weak_fields_seed42.csv,Simulated data,150,15,bf3873e7e5b1aa33b9774bef968c2978f53f416cebefe9e9dc5a00f68c6fb79d,not applicable,CC BY 4.0,Deterministic simulated data reported in the study
simulated_dataset_manifest.csv,Simulated data,5,4,ea846d426be28b5a160a23b00ff7ec065cf1df6549b135b8226f708eefd14e83,not applicable,CC BY 4.0,Deterministic simulated data reported in the study
simulated_games_interactions.csv,Simulated data,76,6,14f0dff3cf85369f31e6e2b97803c86add9ca1bf1ca5fb138f6408ba99db04a4,not applicable,CC BY 4.0,Deterministic simulated data reported in the study
simulated_games_members.csv,Simulated data,118,8,126dcd7d46a7e37787a95e16b0ee1213d00dbbd0dd78def1290300d05e26b542,not applicable,CC BY 4.0,Deterministic simulated data reported in the study
spambase.csv,Spambase,4601,59,f7aad8b2a73a4e95f7dcc3fb0a05c26bae475c7c1a52304f6848f253dbe100f6,10.24432/C53G6X,CC BY 4.0,Complete analysis-ready table
wine.csv,Wine,178,16,35a6da37d2ab609b475c597095287e63de649026974b844430394c2f5409b285,10.24432/C5PC7J,CC BY 4.0,Complete UCI Wine table
