sample_id,synthetic_low_1,synthetic_low_2,synthetic_low_3,synthetic_low_4,synthetic_low_5,synthetic_low_6,synthetic_low_7,synthetic_low_8
0,1,2,1,2,1,2,1,1
1,1,2,2,2,1,2,1,2
2,1,2,1,1,1,2,2,1
3,1,1,1,1,1,2,2,1
4,1,2,2,2,2,2,1,2
5,2,1,2,2,1,1,2,1
6,2,1,2,2,1,1,2,1
7,2,2,2,2,2,1,1,2
8,2,1,1,1,2,2,1,2
9,2,2,1,2,1,1,2,1
10,1,2,2,2,2,2,1,1
11,1,1,2,2,2,2,1,2
12,1,1,2,2,1,2,1,1
13,2,1,2,1,1,1,2,1
14,1,2,1,2,1,2,1,2
15,2,2,2,2,1,1,1,2
16,2,2,1,1,2,2,2,1
17,1,1,1,1,1,1,2,2
18,1,1,1,1,1,2,2,2
19,1,2,1,2,1,2,2,1
20,2,1,1,1,1,1,1,2
21,2,1,1,1,1,1,2,1
22,2,2,2,2,1,2,2,2
23,1,1,1,2,2,2,2,2
24,2,1,1,2,1,2,1,2
25,1,2,1,1,1,1,1,2
26,1,1,1,1,2,1,1,1
27,2,1,2,1,2,1,1,1
28,2,2,2,2,2,2,1,2
29,2,1,2,1,1,1,2,1
30,1,1,1,1,2,2,2,1
31,1,2,1,1,1,2,1,1
32,2,2,1,2,2,1,1,1
33,1,2,2,1,1,2,1,1
34,2,1,1,1,1,1,1,2
35,1,1,1,1,2,2,2,2
36,2,2,1,1,1,2,1,2
37,2,2,2,2,2,1,1,1
38,1,1,2,1,1,2,1,1
39,2,1,1,1,1,1,2,1
40,2,2,2,2,2,2,2,1
41,1,2,1,1,2,2,2,2
42,2,1,2,1,1,2,2,1
43,2,2,2,1,2,2,1,2
44,1,1,2,1,1,1,1,1
45,1,1,2,2,1,1,2,1
46,1,1,1,1,2,2,1,1
47,2,1,2,1,2,1,2,2
48,1,1,2,2,1,2,2,1
49,2,2,1,2,2,2,2,2
50,2,1,1,1,1,2,2,2
51,1,2,1,1,2,1,2,1
52,1,1,2,2,1,2,2,1
53,2,1,1,2,1,2,1,2
54,2,1,2,1,2,1,2,2
55,1,1,2,1,2,2,2,1
56,1,1,1,1,1,2,2,1
57,2,1,2,2,2,2,2,1
58,2,2,2,2,1,1,2,2
59,1,1,2,1,2,1,2,1
60,2,2,1,2,2,2,2,1
61,1,1,2,2,2,1,2,1
62,2,2,1,2,1,2,1,2
63,1,1,1,2,1,2,1,2
64,1,1,2,2,1,1,1,2
65,1,2,2,2,1,2,2,2
66,2,2,2,2,2,2,1,1
67,1,2,2,2,1,1,2,1
68,1,1,1,2,1,2,2,1
69,1,2,2,2,1,2,2,1
70,1,2,1,1,1,1,1,1
71,2,2,1,1,2,2,1,1
72,1,2,2,1,1,1,2,1
73,2,1,2,1,1,1,2,2
74,1,2,2,1,1,2,1,1
75,2,2,2,2,1,2,2,2
76,1,1,1,2,1,2,1,2
77,2,1,1,1,2,2,2,2
78,1,2,2,2,1,1,2,2
79,1,2,1,1,1,1,1,2
80,1,2,2,2,1,1,2,2
81,2,2,2,1,2,1,1,2
82,1,1,1,2,2,2,1,1
83,2,1,1,1,2,2,2,1
84,1,2,2,2,2,2,2,1
85,2,1,2,1,2,2,2,1
86,1,2,1,1,2,2,2,2
87,1,2,2,1,2,2,2,1
88,1,2,1,2,2,1,1,2
89,2,2,1,1,2,1,1,1
90,1,2,1,1,2,2,1,2
91,2,2,1,2,2,2,1,1
92,1,2,2,2,1,2,1,1
93,2,1,2,2,1,1,2,2
94,1,2,2,2,2,2,2,2
95,1,2,1,2,1,2,1,1
96,1,2,2,2,2,2,2,2
97,2,2,2,2,1,2,2,2
98,2,1,2,1,1,1,2,2
99,1,2,1,2,1,2,1,2
100,1,1,2,1,1,1,2,1
101,2,2,1,1,2,1,2,2
102,1,1,2,1,1,2,1,2
103,1,1,2,1,2,1,2,2
104,2,2,1,2,1,1,1,1
105,1,2,2,2,1,2,2,1
106,1,1,2,2,1,1,2,1
107,1,2,1,2,2,2,2,1
108,1,1,1,1,2,2,2,1
109,1,1,2,1,1,2,2,2
110,1,1,2,2,2,1,1,1
111,1,1,1,2,1,1,1,1
112,1,1,1,1,1,1,2,1
113,1,2,2,2,2,1,1,1
114,1,2,1,2,2,1,2,1
115,1,2,1,2,1,2,2,1
116,2,1,1,2,2,2,1,1
117,1,1,2,2,1,2,1,2
118,1,1,1,1,2,1,1,2
119,1,1,1,2,2,2,1,2
120,2,2,2,2,2,2,1,1
121,2,2,2,1,2,1,2,1
122,1,1,1,1,1,2,2,2
123,1,2,2,2,2,1,2,1
124,2,1,2,1,1,1,1,1
125,2,2,1,1,1,2,2,2
126,2,1,2,2,2,2,2,2
127,1,1,1,1,1,2,1,1
128,2,1,2,2,1,1,2,1
129,2,1,1,1,1,2,2,1
130,1,2,1,1,2,1,2,1
131,1,1,1,2,2,1,2,2
132,1,1,1,1,1,1,2,2
133,2,1,2,2,1,2,2,1
134,1,1,2,2,1,1,2,2
135,2,2,1,1,1,1,2,1
136,1,2,1,2,1,2,2,1
137,1,1,2,1,1,2,1,1
138,1,1,1,2,1,2,1,1
139,1,1,2,2,1,2,1,1
140,2,2,1,1,2,1,2,1
141,2,2,1,1,2,2,2,1
142,2,1,1,1,2,2,2,1
143,2,2,2,1,2,1,2,1
144,2,2,1,1,2,1,1,2
145,1,1,2,2,2,1,2,1
146,1,2,2,2,2,2,2,2
147,1,1,1,1,2,1,2,2
148,2,2,2,1,2,2,2,1
149,2,2,1,2,2,1,2,2
