sample_id,synthetic_low_1,synthetic_low_2,synthetic_low_3,synthetic_low_4,synthetic_low_5,synthetic_low_6,synthetic_low_7,synthetic_low_8
0,1,1,2,1,2,2,1,2
1,2,2,1,1,2,2,1,2
2,1,2,2,1,2,2,2,1
3,1,2,1,2,2,2,1,2
4,1,2,1,1,2,2,2,2
5,2,2,1,1,2,1,2,1
6,2,1,1,1,1,2,2,2
7,1,1,2,2,2,1,2,1
8,1,2,2,2,2,1,2,1
9,1,2,1,2,1,2,2,1
10,1,1,2,1,2,2,2,1
11,2,2,2,2,2,2,2,2
12,2,1,1,1,2,1,1,1
13,2,2,2,1,2,2,2,1
14,2,1,2,2,1,1,2,2
15,1,1,2,2,1,1,1,2
16,1,1,1,1,2,1,1,1
17,1,2,1,1,1,2,2,2
18,1,2,2,2,1,2,2,2
19,2,1,1,1,1,2,2,2
20,2,2,1,2,2,1,2,2
21,2,1,2,1,2,2,2,2
22,2,1,2,1,1,1,1,1
23,2,2,2,2,2,1,1,1
24,2,1,1,1,1,2,2,1
25,2,1,2,2,2,2,1,2
26,1,1,1,1,1,2,2,2
27,2,1,1,1,2,2,1,2
28,2,2,1,1,2,1,1,2
29,1,1,2,1,1,2,1,2
30,1,2,2,1,2,1,1,2
31,1,1,1,1,1,2,1,1
32,2,2,1,2,1,1,1,2
33,2,2,2,1,1,2,2,1
34,1,1,1,1,2,1,2,1
35,1,2,1,1,1,1,1,2
36,2,2,1,1,1,2,2,1
37,1,2,1,1,2,1,2,2
38,2,1,1,1,2,1,1,1
39,1,2,1,1,1,1,2,1
40,1,2,2,2,1,1,2,1
41,1,1,2,1,1,1,2,1
42,2,2,2,2,1,2,1,2
43,1,1,1,2,1,2,1,1
44,2,2,2,2,2,1,2,1
45,1,2,1,2,2,2,1,2
46,2,2,1,1,1,2,1,2
47,2,1,2,1,1,1,1,2
48,1,1,2,1,1,1,2,2
49,2,1,1,1,2,2,1,2
50,1,1,1,1,1,1,1,2
51,2,1,1,2,1,1,2,2
52,1,2,2,1,1,1,1,1
53,1,2,2,1,2,1,1,1
54,1,1,2,1,1,2,1,2
55,1,2,1,1,2,1,1,1
56,1,1,2,1,2,2,1,2
57,1,2,1,1,1,1,1,2
58,2,1,2,2,1,1,1,2
59,2,2,2,1,1,1,1,1
60,2,2,1,2,2,2,2,1
61,2,2,1,1,2,2,2,2
62,1,2,1,1,2,2,2,2
63,1,2,2,2,2,1,1,1
64,1,1,2,1,2,1,2,1
65,2,1,1,2,1,1,1,2
66,1,2,2,1,2,1,2,2
67,2,1,2,1,2,1,1,2
68,1,2,2,1,2,1,1,2
69,2,2,1,2,1,1,1,2
70,2,2,2,2,1,2,1,1
71,2,1,2,1,1,2,2,1
72,2,1,1,1,1,1,1,2
73,2,2,2,2,1,2,1,1
74,2,2,2,2,2,2,2,2
75,2,1,1,1,2,1,1,2
76,1,2,1,1,1,1,2,2
77,2,2,2,1,2,2,2,1
78,1,1,1,2,2,1,1,1
79,2,2,2,1,1,2,2,2
80,2,1,2,1,2,1,2,2
81,1,2,1,2,1,2,2,2
82,1,1,1,1,1,1,1,1
83,2,1,1,1,2,1,2,2
84,1,2,2,2,1,2,2,1
85,1,2,2,1,1,1,2,1
86,1,2,2,1,1,2,1,2
87,1,1,1,1,1,2,1,1
88,1,2,2,1,2,1,1,2
89,1,1,1,1,1,2,1,2
90,1,1,2,2,2,1,1,2
91,1,1,1,1,2,2,2,1
92,2,1,1,1,1,1,1,2
93,1,2,2,2,1,2,1,1
94,2,1,1,1,1,1,1,1
95,2,1,1,2,2,2,1,2
96,2,2,2,1,1,1,2,2
97,2,1,1,2,1,1,1,1
98,2,1,1,1,2,1,1,1
99,1,2,2,1,2,2,1,2
100,1,2,2,1,1,1,1,1
101,1,2,2,2,1,1,2,2
102,2,2,2,2,1,1,1,1
103,2,2,1,2,1,1,1,1
104,1,2,1,1,2,1,1,1
105,1,1,2,2,2,1,1,2
106,2,1,2,1,1,2,2,1
107,2,1,1,2,1,1,2,1
108,1,2,2,2,2,2,1,2
109,2,1,1,1,2,2,1,2
110,1,2,2,1,1,2,1,1
111,1,1,2,2,1,1,1,1
112,2,1,2,2,1,2,1,1
113,1,1,2,1,1,1,1,2
114,1,2,2,1,1,1,1,1
115,2,1,2,1,2,2,1,1
116,1,1,1,1,2,1,1,2
117,2,2,1,2,1,2,1,2
118,1,1,1,2,1,1,2,1
119,1,2,2,2,1,2,1,2
120,1,1,2,1,2,2,1,2
121,2,2,2,2,2,2,2,2
122,1,2,2,1,2,1,1,1
123,1,1,1,2,2,2,1,2
124,1,2,1,2,2,2,2,2
125,2,1,2,1,1,1,1,2
126,2,1,1,1,2,2,1,2
127,2,1,1,2,1,1,1,2
128,2,1,2,1,2,2,2,2
129,1,1,2,2,1,1,2,2
130,1,2,2,1,1,1,2,1
131,1,2,1,1,1,2,1,2
132,1,2,1,2,1,1,2,1
133,2,1,2,1,2,2,1,1
134,2,2,1,1,1,1,1,1
135,2,1,1,1,2,1,2,2
136,2,2,1,2,2,2,1,1
137,2,1,1,2,2,1,1,1
138,2,1,2,2,1,2,1,1
139,1,1,2,1,1,2,1,1
140,2,2,2,2,2,2,1,1
141,1,2,2,1,1,2,2,2
142,1,2,2,2,2,1,2,2
143,2,1,1,2,2,2,1,2
144,1,1,1,1,2,1,2,2
145,2,2,1,1,1,1,2,1
146,2,2,1,2,1,1,2,2
147,2,1,2,1,1,1,2,2
148,2,2,1,1,2,2,2,2
149,2,1,2,1,1,2,1,1
